"LEGEND","Fill in the YOUR CALL column only","","","",""
"","free","no gate at all","","",""
"","preview","columns render, top 5 rows only, no re-sort","","",""
"","bands: A / B","name the bands that stay free; the rest render blurred under a lock","","",""
"","paid","subscribers only","","",""
"","a number","for the allowance rows — the new limit","","",""
"","","","","",""
"Area","What","Columns / detail","Gate today","YOUR CALL","Notes"
"Season archive","Which seasons need an account","13 seasons, 2014-2026","every season free (gate built, switched off)","","THE ONLY DATA GATE on the site — a paid season is never published to the CDN. Everything else on this sheet hides presentation of data the browser already holds. Agreed setting was 'current season and the one before'."
"Free-tier allowance","Stat columns at once","FREE_LIMITS.statCols","3","","Identity columns (rank, team, season, record) never count."
"Free-tier allowance","Of those, how many may carry a filter","FREE_LIMITS.boundedStatCols","2","","Lower than the column cap on purpose: looking at a number is cheaper than asking who clears a bar."
"Free-tier allowance","Saved filter views kept","FREE_LIMITS.savedFilters","3","","Subscribers get 24."
"Free-tier allowance","Rows shown of a preview-gated view","FREE_LIMITS.previewRows","5","","Enough to see the shape, not the ranking."
"Free-tier allowance","Seasons selectable at once","FREE_LIMITS.seasonsAtOnce","1","","The allowance that gets stronger once the archive gate is on."
"Team Explorer view","Overview","Ratings (adjusted) / Four Factors / Shooting","free","","The default table — adjusted ratings, the four factors, and shooting"
"Team Explorer view","Four Factors","Offense / Defense / Margins","free","","Dean Oliver's four factors, yours against theirs"
"Team Explorer view","Adjusted & Schedule","Adjusted / Schedule","free","","Our schedule-adjusted ratings and the schedule they were earned against"
"Team Explorer view","Shooting Splits","Accuracy / Efficiency / Volume","preview (top 5, no re-sort)","","Accuracy from every level, plus the two efficiency composites"
"Team Explorer view","Shot Profile","Frequency / Accuracy by zone / Allowed","preview (top 5, no re-sort)","","Where the shots come from and how they fall — 2022 on, where coordinates exist"
"Team Explorer view","Traditional Box","Scoring / Rebounding / Defense & fouls","free","","The counting stats, per game"
"Team Explorer view","Scoring Context","Per game / Share of points / Creation","preview (top 5, no re-sort)","","Where the points actually come from — transition, paint, second chances, bench"
"Team Explorer view","Differentials","Margin / Situational / Rate margins","preview (top 5, no re-sort)","","You minus them, per game"
"Team Explorer view","Opponent Shooting","Allowed / Shot diet allowed / Rating","preview (top 5, no re-sort)","","What the defense allowed, and from where"
"Team Explorer view","Defensive Events","Event rates / Per game / Cost of fouling","preview (top 5, no re-sort)","","Steals, blocks and what they cost in fouls"
"Team Explorer view","Record & Outcomes","Record / Never in doubt / Comebacks & collapses","bands free: Record","","The record, and what the scoreboard looked like getting there"
"Team Explorer view","Roster Continuity","Prior season / Minutes returned / Incoming / Stability / Returner share","bands free: Prior season / Minutes returned","","How much of last season's rotation came back, and whether it kept its roles"
"Team Explorer view","Roster & Experience","Size / Minutes by class / Points by class","preview (top 5, no re-sort)","","How big and how old the rotation actually is, weighted by minutes played"
"Team Explorer view","Build My Own Table","reader's own columns","capped at 3 columns","","Start with nothing but the teams, then add exactly the columns you want"
